iter	RMSE
0	83.30280483
1	81.98541667
2	80.6400474
3	79.44975211
4	78.30708208
5	77.22116918
6	76.2519029
7	75.33085445
8	74.39489163
9	73.46079932
10	72.37948333
11	71.503852
12	70.77341629
13	70.02636003
14	69.3562762
15	68.650251
16	68.05327675
17	67.4623414
18	66.9628967
19	66.43661598
20	65.86188062
21	65.34742233
22	64.90833953
23	64.43367578
24	63.94639876
25	63.5792293
26	63.23984442
27	62.89008569
28	62.51044698
29	62.19284442
30	61.87420162
31	61.52196202
32	61.20627966
33	60.76037419
34	60.460855
35	60.24388881
36	59.9524626
37	59.69137233
38	59.49549208
39	59.23590996
40	59.03145097
41	58.85663936
42	58.6196195
43	58.3481393
44	58.15816014
45	57.97528958
46	57.81642219
47	57.62437103
48	57.42032711
49	57.27044373
50	57.09651207
51	56.95265609
52	56.75167695
53	56.5662186
54	56.40716213
55	56.31146708
56	56.16970502
57	56.00547192
58	55.90471699
59	55.68178351
60	55.50077371
61	55.34513711
62	55.22544572
63	55.13202449
64	54.97437853
65	54.86068212
66	54.70224146
67	54.60693652
68	54.49928979
69	54.40910029
70	54.34823867
71	54.28048186
72	54.190048
73	54.03159809
74	53.85331151
75	53.75345894
76	53.64136246
77	53.56414338
78	53.41835747
79	53.25204223
80	53.11038042
81	53.06618889
82	52.97768695
83	52.86728202
84	52.75119151
85	52.67242562
86	52.56461999
87	52.50199148
88	52.38700654
89	52.23514978
90	52.15134539
91	52.06180028
92	51.93523807
93	51.81686638
94	51.72140054
95	51.63424415
96	51.5259131
97	51.44868609
98	51.3848758
99	51.28477869
100	51.2266992
101	51.13432566
102	51.05235033
103	50.97869456
104	50.90917101
105	50.85064397
106	50.7744183
107	50.70259717
108	50.6133927
109	50.53379041
110	50.51561647
111	50.45756975
112	50.36342514
113	50.31060935
114	50.26998954
115	50.21502398
116	50.16409691
117	50.11739898
118	50.04854303
119	49.96035088
120	49.90602983
121	49.86906189
122	49.82884209
123	49.77193417
124	49.73264526
125	49.68470985
126	49.60782356
127	49.53980725
128	49.52205084
129	49.43633822
130	49.39597979
131	49.31995944
132	49.25484842
133	49.1311286
134	49.11274884
135	49.06804838
136	49.02294144
137	48.98272482
138	48.92524377
139	48.87564174
140	48.83920194
141	48.78314403
142	48.71353652
143	48.67297917
144	48.59732682
145	48.53782158
146	48.4716833
147	48.42589698
148	48.36439733
149	48.28938425
150	48.21790817
151	48.17877425
152	48.15783964
153	48.14496009
154	48.12660279
155	48.06895955
156	48.03742915
157	48.01122169
158	47.95809007
159	47.90655072
160	47.87842072
161	47.82103554
162	47.81268015
163	47.7728972
164	47.71593705
165	47.6921744
166	47.6807803
167	47.65445257
168	47.61212921
169	47.58894992
170	47.56404633
171	47.55617864
172	47.50314373
173	47.48725706
174	47.40173423
175	47.36869518
176	47.35908401
177	47.35410536
178	47.34440131
179	47.31809805
180	47.28668584
181	47.24882927
182	47.22979972
183	47.21843962
184	47.21151636
185	47.15762839
186	47.08997866
187	47.07277385
188	47.06589175
189	47.03684746
190	47.03090112
191	46.99785235
192	46.93922559
193	46.83290683
194	46.82810639
195	46.82234139
196	46.81712663
197	46.81118111
198	46.76217269
199	46.73936121
200	46.66600019
201	46.63777483
202	46.6200537
203	46.60633483
204	46.54675072
205	46.50214951
206	46.49355283
207	46.49021263
208	46.47578624
209	46.47250787
210	46.4158309
211	46.36003272
212	46.35002493
213	46.29050992
214	46.28328585
215	46.22271928
216	46.16032462
217	46.15306283
218	46.13678064
219	46.07983244
220	46.02042388
221	45.96572518
222	45.89937416
223	45.87171882
224	45.82093511
225	45.73599406
226	45.64726076
227	45.61748845
228	45.53380819
229	45.49003367
230	45.40554624
231	45.32918962
232	45.25365572
233	45.24820107
234	45.19851112
235	45.17157314
236	45.11643322
237	45.02190046
238	44.98949523
239	44.92665341
240	44.92288145
241	44.89748123
242	44.87799527
243	44.84934912
244	44.77629448
245	44.75223239
246	44.7463586
247	44.73859604
248	44.73532026
249	44.71591155
250	44.63947789
251	44.58548548
252	44.55333686
253	44.49348677
254	44.45145245
255	44.42547651
256	44.42141402
257	44.34137853
258	44.26939706
259	44.26636333
260	44.23656351
261	44.18765175
262	44.14893655
263	44.14582654
264	44.13874106
265	44.09038111
266	44.08572871
267	44.01487313
268	44.0136525
269	43.94688903
270	43.90591348
271	43.85080233
272	43.75828392
273	43.73628635
274	43.70132054
275	43.61734428
276	43.55720325
277	43.505744
278	43.50171697
279	43.49607396
280	43.48074539
281	43.4234198
282	43.39051758
283	43.32110054
284	43.31013363
285	43.30492418
286	43.27820395
287	43.22744753
288	43.17302983
289	43.12362417
290	43.07680968
291	43.03281648
292	42.94581232
293	42.897627
294	42.83945246
295	42.82973117
296	42.81536887
297	42.76756488
298	42.71732473
299	42.70880966
300	42.64780363
301	42.60964434
302	42.57645673
303	42.5508617
304	42.51916188
305	42.48154338
306	42.41892362
307	42.37866172
308	42.34558225
309	42.31059536
310	42.23364506
311	42.16490182
312	42.11862033
313	42.08137418
314	42.02039122
315	41.98558342
316	41.96743625
317	41.95317145
318	41.91363967
319	41.89808186
320	41.87103229
321	41.82918948
322	41.79612512
323	41.76725323
324	41.7310718
325	41.72640977
326	41.69948044
327	41.69595181
328	41.62420417
329	41.59978691
330	41.52936648
331	41.48353201
332	41.40618028
333	41.32983774
334	41.26853532
335	41.23019335
336	41.20446643
337	41.13593462
338	41.09507059
339	41.05213693
340	40.97246059
341	40.91818604
342	40.90759878
343	40.86105257
344	40.84337639
345	40.78581462
346	40.73267158
347	40.71868062
348	40.71746389
349	40.68762286
350	40.63007769
351	40.57839413
352	40.57629856
353	40.49523665
354	40.42592392
355	40.37663115
356	40.33481345
357	40.28142216
358	40.21818928
359	40.19471245
360	40.18591599
361	40.17719238
362	40.17498257
363	40.17273127
364	40.0994628
365	40.07269671
366	40.0058442
367	39.972382
368	39.91329302
369	39.84669626
370	39.83873364
371	39.79427096
372	39.76098271
373	39.75616038
374	39.71299366
375	39.67954839
376	39.61026134
377	39.53563927
378	39.52999356
379	39.5254315
380	39.50918188
381	39.4609982
382	39.40142963
383	39.37686124
384	39.35310979
385	39.27349148
386	39.23912796
387	39.18508924
388	39.1369798
389	39.13098897
390	39.1125714
391	39.07968739
392	39.04868584
393	39.00371701
394	38.96993252
395	38.9079917
396	38.87139713
397	38.8133268
398	38.7823426
399	38.78061841
400	38.75781139
401	38.72044651
402	38.67938972
403	38.66617002
404	38.65371935
405	38.60532734
406	38.59320522
407	38.53652536
408	38.51587789
409	38.49503992
410	38.49229509
411	38.4485055
412	38.40109599
413	38.38832115
414	38.35190219
415	38.3254268
416	38.25980603
417	38.21214694
418	38.21005296
419	38.16108739
420	38.13165843
421	38.06018846
422	38.01698062
423	37.97808086
424	37.93497754
425	37.93318944
426	37.87266411
427	37.81816046
428	37.77083939
429	37.74048712
430	37.69054122
431	37.65475502
432	37.61789967
433	37.56383701
434	37.49681394
435	37.43543223
436	37.43189823
437	37.38283604
438	37.37017211
439	37.32754371
440	37.30615283
441	37.27747925
442	37.25266337
443	37.19796849
444	37.16629199
445	37.12275142
446	37.09427789
447	37.09299262
448	37.04803442
449	36.99235196
450	36.9420935
451	36.93707583
452	36.90994978
453	36.88875521
454	36.85540867
455	36.80020239
456	36.76538294
457	36.69159754
458	36.67961676
459	36.66708154
460	36.65808666
461	36.6542375
462	36.61756008
463	36.57233385
464	36.54022438
465	36.51168912
466	36.48147854
467	36.44154358
468	36.43005234
469	36.42655918
470	36.39349639
471	36.34327185
472	36.32006811
473	36.27612125
474	36.27277212
475	36.22950184
476	36.21153364
477	36.16377154
478	36.13277689
479	36.10920939
480	36.09757799
481	36.09587031
482	36.09245703
483	36.0540358
484	36.05217142
485	36.01681302
486	35.9424517
487	35.91045701
488	35.88513209
489	35.86742237
490	35.83000858
491	35.78973419
492	35.77381319
493	35.74430221
494	35.70501079
495	35.69995604
496	35.66684005
497	35.61866499
498	35.60834039
499	35.6052344
500	35.6035233
501	35.58837911
502	35.56154456
503	35.53506148
504	35.5118917
505	35.47269361
506	35.44429195
507	35.39831543
508	35.36897101
509	35.36772512
510	35.34510129
511	35.29575648
512	35.26921762
513	35.240194
514	35.20982458
515	35.18248229
516	35.17172114
517	35.12678073
518	35.12239749
519	35.10312671
520	35.05688833
521	35.05529034
522	35.03512036
523	35.03337055
524	35.00080144
525	34.9973902
526	34.97672094
527	34.97102114
528	34.94528226
529	34.91522037
530	34.89572338
531	34.86651213
532	34.85253481
533	34.84841895
534	34.81103037
535	34.80433647
536	34.73478914
537	34.70898424
538	34.69902204
539	34.65824002
540	34.65761897
541	34.63721579
542	34.60946486
543	34.56897975
544	34.54789894
545	34.51199752
546	34.48241265
547	34.44286366
548	34.43714312
549	34.42475341
550	34.38115065
551	34.36064748
552	34.35046466
553	34.3491465
554	34.29738218
555	34.26878141
556	34.25081018
557	34.21371141
558	34.20996927
559	34.18985506
560	34.16393893
561	34.14154983
562	34.1229272
563	34.05747189
564	34.0206858
565	34.01528365
566	33.99564034
567	33.95193221
568	33.92143439
569	33.88835319
570	33.85865219
571	33.85572541
572	33.80723172
573	33.76207513
574	33.76055073
575	33.71274362
576	33.71125262
577	33.6700004
578	33.66233682
579	33.63663331
580	33.6334081
581	33.59473065
582	33.59162876
583	33.58946869
584	33.57392973
585	33.51369309
586	33.5108881
587	33.48332923
588	33.48163805
589	33.4563383
590	33.44109935
591	33.43886393
592	33.39626012
593	33.36251051
594	33.32720826
595	33.32128774
596	33.3184365
597	33.30180155
598	33.26941029
599	33.22005064
600	33.21812052
601	33.18372654
602	33.18150399
603	33.14867022
604	33.13457781
605	33.10933148
606	33.10636089
607	33.06691475
608	33.03206176
609	33.01057705
610	32.99164953
611	32.9603126
612	32.93662481
613	32.9338344
614	32.90233591
615	32.89481483
616	32.85722549
617	32.81759987
618	32.78090509
619	32.77773314
620	32.75365454
621	32.70730792
622	32.6539504
623	32.61969983
624	32.59964966
625	32.58315237
626	32.55948097
627	32.52962317
628	32.51793555
629	32.48827039
630	32.47669843
631	32.42242073
632	32.410272
633	32.40706807
634	32.39842188
635	32.39472483
636	32.35780816
637	32.32529286
638	32.31281055
639	32.31137134
640	32.28014836
641	32.26131119
642	32.25855448
643	32.21971965
644	32.19706821
645	32.17484404
646	32.12846328
647	32.08612904
648	32.04635432
649	32.04466407
650	32.00948843
651	31.97415004
652	31.94555162
653	31.91308385
654	31.90393014
655	31.89983738
656	31.87637912
657	31.83172902
658	31.80225091
659	31.75724036
660	31.75382956
661	31.72932491
662	31.70495097
663	31.68592803
664	31.67237459
665	31.67025639
666	31.64636093
667	31.60584332
668	31.59457105
669	31.56880922
670	31.53622673
671	31.50753345
672	31.47786342
673	31.44750032
674	31.44404412
675	31.43544411
676	31.4046953
677	31.35249336
678	31.33955715
679	31.33084454
680	31.32862349
681	31.32708681
682	31.30082441
683	31.25771029
684	31.25222346
685	31.24940065
686	31.23273786
687	31.19789318
